Player Name	Pos.	Birthdate	Birthplace	Province	Country	Start	End	GP	G	A	Pts	PIM	Yrs.	Lati	Longi
Christoph Brandner	L	07/05/1975	Bruck	 Austria	Austria	2003	2004	35	4	5	9	8	1		
Thomas Pock	D	12/02/1981	Klagenfurt	 Austria	Austria	2003	2009	118	8	9	17	55	5		
Reinhard Divis	G	07/04/1975	Vienna	 Austria	Austria	2001	2006	28	0	0	0	2	4		
Thomas Vanek	R	01/19/1984	Vienna	 Austria	Austria	2005	2013	585	250	238	488	358	8		
Andreas Nodl	R	02/28/1987	Vienna	 Austria	Austria	2008	2013	183	15	21	36	28	5		
Michael Grabner	R	10/05/1987	Villach	 Austria	Austria	2009	2013	219	75	41	116	42	4		
Andre Deveaux	C	02/23/1984	Freeport	 Bahamas	Bahamas	2008	2012	31	0	2	2	104	3		
Alexander Andrijevski	R	08/10/1968	Minsk	 Belarus	Belarus	1992	1993	1	0	0	0	0	1		
Oleg Mikulchik	D	06/27/1964	Minsk	 Belarus	Belarus	1993	1996	37	0	3	3	33	3		
Ruslan Salei	D	11/02/1974	Minsk	 Belarus	Belarus	1996	2011	917	45	159	204	1065	14		
Konstantin Koltsov	R	04/17/1981	Minsk	 Belarus	Belarus	2002	2006	144	12	26	38	50	3		
Andrei Kostitsyn	R	02/03/1985	Novopolotsk	 Belarus	Belarus	2005	2012	398	103	119	222	181	7		
Sergei Kostitsyn	R	03/20/1987	Novopolotsk	 Belarus	Belarus	2007	2013	353	67	109	176	188	6		
Sergei Bautin	D	03/11/1967	Rogachev	 Belarus	Belarus	1992	1996	132	5	25	30	176	3		
Jan Benda	D	04/28/1972	Reef	 Belgium	Belgium	1997	1998	9	0	3	3	6	1		
Robyn Regehr	D	04/19/1980	Recife	 Brazil	Brazil	1999	2013	944	30	142	172	881	13		
Mike Greenlay	G	09/15/1968	Vitoria	 Brazil	Brazil	1989	1990	2	0	1	1	0	1		
Craig Adams	R	04/26/1977	Seria	 Brunei	Brunei	2000	2013	799	49	93	142	593	12		
Ivan "Hickey" Nicholson	L		Charlotettown	 PEI	Canada	1937	1938	2	1	0	1	0	1	46.238953	-63.131711
Wes "Bucko" Trainor	W	09/11/1922	Charlottetown	 PEI	Canada	1948	1949	17	1	2	3	6	1	46.24	-63.131711
Bob Whitlock	L	07/16/1949	Charlottetown	 PEI	Canada	1969	1970	1	0	0	0	0	1	46.25	-63.131711
Bill MacMillan	C	03/07/1943	Charlottetown	 PEI	Canada	1970	1977	446	74	77	151	184	7	46.26	-63.131711
Bob Stewart	D	11/10/1950	Charlottetown	 PEI	Canada	1971	1980	576	27	101	128	809	9	46.27	-63.131711
Al MacAdam	F	03/16/1952	Charlottetown	 PEI	Canada	1973	1985	864	240	351	591	509	12	46.238953	-63.18
Gary Simmons	G	07/19/1944	Charlottetown	 PEI	Canada	1974	1978	107	0	1	1	50	4	46.238953	-63.2
Bob MacMillan	C	09/03/1952	Charlottetown	 PEI	Canada	1974	1985	753	228	349	577	260	11	46.238953	-63.25
John Hughes	D	03/18/1954	Charlottetown	 PEI	Canada	1979	1981	70	2	14	16	211	2	46.238953	-63.3
Garth MacGuigan	C	02/16/1956	Charlottetown	 PEI	Canada	1979	1984	5	0	1	1	2	2	46.238953	-63.08
Dave Cameron	C	07/29/1958	Charlottetown	 PEI	Canada	1981	1984	168	25	28	53	238	3	46.23	-63.131711
Shane MacEachern	C	12/14/1967	Charlottetown	 PEI	Canada	1987	1988	1	0	0	0	0	1	46.22	-63.131711
Tyler Larter	C	03/12/1968	Charlottetown	 PEI	Canada	1989	1990	1	0	0	0	0	1	46.21	-63.131711
Jason MacDonald	W	04/01/1974	Charlottetown	 PEI	Canada	2003	2004	4	0	0	0	19	1	46.2	-63.131711
Drew MacIntyre	G	06/24/1983	Charlottetown	 PEI	Canada	2007	2012	4	0	0	0	0	2	46.205	-63.131711
Mark Flood	D	09/29/1984	Charlottetown	 PEI	Canada	2009	2012	39	3	5	8	10	2	46.23	-63.131711
Adam McQuaid	D	10/12/1986	Charlottetown	 PEI	Canada	2009	2013	190	7	23	30	276	4	46.228	-63.131711
Brad Richards	C	05/02/1980	Murray Harbour	 PEI	Canada	2000	2013	900	256	560	816	213	12	46.002064	-62.520021
Charles "Moose" Cahill	R	01/04/1904	Summerside	 PEI	Canada	1925	1926	31	0	1	1	4	1	46.393206	-63.789885
Errol Thompson	F	05/28/1950	Summerside	 PEI	Canada	1970	1981	599	208	185	393	184	10	46.393206	-63.789885
M.F. Schurman	L	07/18/1957	Summerside	 PEI	Canada	1979	1980	7	0	0	0	0	1	46.393206	-63.789885
John Chabot	C	05/18/1962	Summerside	 PEI	Canada	1983	1991	508	84	228	312	85	8	46.393206	-63.789885
Gerard Gallant	L	09/02/1963	Summerside	 PEI	Canada	1984	1995	615	211	269	480	1674	11	46.393206	-63.789885
Kent Paynter	D	04/27/1965	Summerside	 PEI	Canada	1987	1994	37	1	3	4	69	7	46.393206	-63.789885
Steve Ott	C	08/19/1982	Summerside	 PEI	Canada	2002	2013	614	94	150	244	1263	10	46.393206	-63.789885
Nathan McIver	D	01/06/1985	Summerside	 PEI	Canada	2006	2009	36	0	1	1	95	3	46.393206	-63.789885
Darryl Boyce	C	07/07/1984	Summerside	 PEI	Canada	2007	2012	84	6	12	18	68	3	46.393206	-63.789885
Darcy Campbell	D	05/12/1984	Airdrie	Alberta	Canada	2006	2007	1	0	0	0	0	1	51.291935	-114.014268
Zach Boychuk	C	10/04/1989	Airdrie	Alberta	Canada	2008	2013	85	8	12	20	12	5	51.291935	-114.014268
Dana Tyrell	C	04/23/1989	Airdrie	Alberta	Canada	2010	2013	125	7	17	24	22	3	51.291935	-114.014268
Darrell Anholt	D	11/23/1962	Amisk	Alberta	Canada	1983	1984	1	0	0	0	0	1	52.564616	-111.056934
Dean Magee	C	04/29/1955	Banff	Alberta	Canada	1977	1978	7	0	0	0	4	1	51.178441	-115.570793
Kevin Smyth	L	11/22/1973	Banff	Alberta	Canada	1993	1996	58	6	8	14	31	3	51.178441	-115.570793
Ryan Smyth	L	02/21/1976	Banff	Alberta	Canada	1994	2013	1198	376	443	819	932	18	51.178441	-115.570793
Frank Jerwa	L	02/28/1910	Bankhead	Alberta	Canada	1931	1935	91	11	16	27	61	4	51.230381	-115.523781
Alan May	L	01/14/1965	Barrhead	Alberta	Canada	1987	1995	393	31	45	76	1348	8	54.12315	-114.402313
Brad Berry	D	04/01/1965	Bashaw	Alberta	Canada	1985	1994	241	4	28	32	323	8	52.579877	-112.974626
Dave Reierson	D	08/30/1964	Bashaw	Alberta	Canada	1988	1989	2	0	0	0	2	1	52.579877	-112.974626
Mark Marquess	R	03/26/1925	Bassano	Alberta	Canada	1946	1947	27	5	4	9	6	1	50.789555	-112.468659
Jerry Holland	L	08/25/1954	Beaver Lodge	Alberta	Canada	1974	1976	37	8	4	12	6	2	55.213887	-119.423633
Chris Schmidt	C	03/01/1976	Beaver Lodge	Alberta	Canada	2002	2003	10	0	2	2	5	1	55.213887	-119.423633
Matt Walker	D	04/07/1980	Beaverlodge	Alberta	Canada	2002	2012	314	4	26	30	464	9	55.213887	-119.423633
Perry Turnbull	L	03/09/1959	Bentley	Alberta	Canada	1979	1988	608	188	163	351	1245	9	52.465232	-114.049944
Randy Turnbull	D	02/17/1962	Bentley	Alberta	Canada	1981	1982	1	0	0	0	2	1	52.465232	-114.049944
Clayton Beddoes	C	11/10/1970	Bentley	Alberta	Canada	1995	1997	60	2	8	10	57	2	52.465232	-114.049944
Pat Egan	D	04/26/1918	Blackie	Alberta	Canada	1939	1951	554	77	153	230	776	11	50.608484	-113.628753
Jeremy Colliton	C	01/13/1985	Blackie	Alberta	Canada	2005	2011	57	3	3	6	26	5	50.608484	-113.628753
Doug Houda	D	06/03/1966	Blairmore	Alberta	Canada	1985	2003	561	19	63	82	1104	15	49.607297	-114.435582
Jim Harrison	C	07/09/1947	Bonnyville	Alberta	Canada	1968	1980	324	67	86	153	435	8	54.267034	-110.749752
Jon Kalinski	L	05/25/1987	Bonnyville	Alberta	Canada	2008	2010	22	1	4	5	0	2	54.267034	-110.749752
Troy Loney	L	09/21/1963	Bow Island	Alberta	Canada	1983	1995	624	87	110	197	1091	12	49.869804	-111.377348
Milan Marcetta	C	09/19/1936	Cadomin	Alberta	Canada	1966	1969	54	7	15	22	10	3	53.032523	-117.326529
Craig Berube	L	12/17/1965	Calahoo	Alberta	Canada	1986	2003	1054	61	98	159	3149	17	53.715711	-113.958951
Frank Banham	R	04/14/1975	Calahoo	Alberta	Canada	1996	2003	32	9	2	11	16	4	53.715711	-113.958951
Paul Thompson	L	11/02/1907	Calgary	Alberta	Canada	1926	1939	581	153	179	332	336	13	51.045074	-114.059049
Norman "Dutch" Gainor	C	04/10/1904	Calgary	Alberta	Canada	1927	1935	243	51	56	107	129	7	51.045074	-114.059049
Herbie Lewis	L	04/17/1906	Calgary	Alberta	Canada	1928	1939	483	148	161	309	248	11	51.045074	-114.059049
Lawrence "Baldy" Northcott	L	09/07/1908	Calgary	Alberta	Canada	1928	1939	447	133	112	245	273	11	51.045074	-114.059049
Bill Hutton	D	01/28/1910	Calgary	Alberta	Canada	1929	1931	64	3	2	5	8	2	51.045074	-114.059049
Stewart Adams	L	09/16/1904	Calgary	Alberta	Canada	1929	1933	107	9	26	35	60	4	51.045074	-114.059049
Ronnie Martin	R	08/22/1909	Calgary	Alberta	Canada	1932	1934	94	13	16	29	36	2	51.045074	-114.059049
Gordon "Tony" Savage	D		Calgary	Alberta	Canada	1934	1935	49	1	5	6	6	1	51.045074	-114.059049
Fred Hergerts	C	01/29/1913	Calgary	Alberta	Canada	1934	1936	19	2	4	6	2	2	51.045074	-114.059049
David "Sweeney" Schriner	L		Calgary	Alberta	Canada	1934	1946	484	201	204	405	148	11	51.045074	-114.059049
Les Cunningham	C	10/04/1913	Calgary	Alberta	Canada	1936	1940	60	7	19	26	21	2	51.045074	-114.059049
Eddie Wares	R	03/19/1915	Calgary	Alberta	Canada	1936	1947	321	60	102	162	161	9	51.045074	-114.059049
Jack Adams	L	05/05/1920	Calgary	Alberta	Canada	1940	1941	42	6	12	18	11	1	51.045074	-114.059049
George Boothman	C	09/25/1916	Calgary	Alberta	Canada	1942	1944	58	17	19	36	18	2	51.045074	-114.059049
Frank McCool	G	10/27/1918	Calgary	Alberta	Canada	1944	1946	72	0	0	0	5	2	51.045074	-114.059049
George Pargeter	L	02/24/1923	Calgary	Alberta	Canada	1946	1947	4	0	0	0	0	1	51.045074	-114.059049
Bill Gadsby	D	08/08/1927	Calgary	Alberta	Canada	1946	1966	1248	130	438	568	1539	20	51.045074	-114.059049
Ron Stewart	C	07/11/1932	Calgary	Alberta	Canada	1952	1973	1353	276	253	529	560	21	51.045074	-114.059049
Hank Bassen	G	12/06/1932	Calgary	Alberta	Canada	1954	1968	157	0	2	2	38	9	51.045074	-114.059049
Harrison Gray	G	09/05/1941	Calgary	Alberta	Canada	1963	1964	1	0	0	0	0	1	51.045074	-114.059049
Garry Unger	C	12/07/1947	Calgary	Alberta	Canada	1967	1983	1105	413	391	804	1075	16	51.045074	-114.059049
Bob Liddington	L	09/15/1948	Calgary	Alberta	Canada	1970	1971	11	0	1	1	2	1	51.045074	-114.059049
Brian Carlin	L	06/13/1950	Calgary	Alberta	Canada	1971	1972	5	1	0	1	0	1	51.045074	-114.059049
Bobby Taylor	G	01/24/1945	Calgary	Alberta	Canada	1971	1976	46	0	1	1	16	5	51.045074	-114.059049
Lyle Moffat	L	03/19/1948	Calgary	Alberta	Canada	1972	1980	96	12	16	28	51	3	51.045074	-114.059049
Don Cairns	L	10/08/1955	Calgary	Alberta	Canada	1975	1977	9	0	1	1	2	2	51.045074	-114.059049
Pat Hughes	F	03/25/1955	Calgary	Alberta	Canada	1977	1987	573	130	128	258	646	10	51.045074	-114.059049
Brent Peterson	R	02/15/1958	Calgary	Alberta	Canada	1978	1989	620	72	141	213	484	11	51.045074	-114.059049
Ross Cory	D	02/04/1957	Calgary	Alberta	Canada	1979	1981	51	2	10	12	41	2	51.045074	-114.059049
Mike Rogers	C	10/24/1954	Calgary	Alberta	Canada	1979	1986	484	202	317	519	184	7	51.045074	-114.059049
Terry Johnson	D	11/28/1958	Calgary	Alberta	Canada	1979	1988	285	3	24	27	580	9	51.045074	-114.059049
Archie Henderson	R	02/17/1957	Calgary	Alberta	Canada	1980	1983	23	3	1	4	92	3	51.045074	-114.059049
Mike Moller	R	06/16/1962	Calgary	Alberta	Canada	1980	1987	134	15	28	43	41	7	51.045074	-114.059049
Murray Brumwell	D	03/31/1960	Calgary	Alberta	Canada	1980	1988	128	12	31	43	70	7	51.045074	-114.059049
Murray Eaves	F	05/10/1960	Calgary	Alberta	Canada	1980	1990	57	4	13	17	9	8	51.045074	-114.059049
Craig Levie	D	08/17/1959	Calgary	Alberta	Canada	1981	1987	183	22	53	75	177	6	51.045074	-114.059049
Randy Moller	D	08/23/1963	Calgary	Alberta	Canada	1981	1995	815	45	180	225	1692	14	51.045074	-114.059049
Troy Murray	C	07/31/1962	Calgary	Alberta	Canada	1981	1996	914	230	354	584	875	15	51.045074	-114.059049
Tim Hunter	F	09/10/1960	Calgary	Alberta	Canada	1981	1997	815	62	76	138	3146	16	51.045074	-114.059049
Leigh Verstraete	R	01/06/1962	Calgary	Alberta	Canada	1982	1988	8	0	1	1	14	3	51.045074	-114.059049
Mike Vernon	G	02/24/1963	Calgary	Alberta	Canada	1982	2002	781	0	39	39	271	19	51.045074	-114.059049
Mike Heidt	D	11/04/1963	Calgary	Alberta	Canada	1983	1984	6	0	1	1	7	1	51.045074	-114.059049
Todd Charlesworth	D	03/22/1965	Calgary	Alberta	Canada	1983	1990	93	3	9	12	47	6	51.045074	-114.059049
Dana Murzyn	D	12/09/1966	Calgary	Alberta	Canada	1985	1999	838	52	152	204	1571	14	51.045074	-114.059049
Bob Bassen	C	05/06/1965	Calgary	Alberta	Canada	1985	2000	765	88	144	232	1004	15	51.045074	-114.059049
Colin Chisholm	D	02/25/1963	Calgary	Alberta	Canada	1986	1987	1	0	0	0	0	1	51.045074	-114.059049
Steve Nemeth		02/11/1967	Calgary	Alberta	Canada	1987	1988	12	2	0	2	2	1	51.045074	-114.059049
Wayne McBean	D	02/21/1969	Calgary	Alberta	Canada	1987	1994	211	10	39	49	168	6	51.045074	-114.059049
Dean Chynoweth	D	10/30/1968	Calgary	Alberta	Canada	1988	1998	241	4	18	22	667	9	51.045074	-114.059049
Rob DiMaio	R	02/19/1968	Calgary	Alberta	Canada	1988	2006	894	106	171	277	840	17	51.045074	-114.059049
Trevor Sim	C	06/09/1970	Calgary	Alberta	Canada	1989	1990	3	0	1	1	2	1	51.045074	-114.059049
Darcy Loewen	L	02/26/1969	Calgary	Alberta	Canada	1989	1994	135	4	8	12	211	5	51.045074	-114.059049
Wes Walz	C	05/15/1970	Calgary	Alberta	Canada	1989	2008	607	109	151	260	343	13	51.045074	-114.059049
Myles O'Connor	D	04/02/1967	Calgary	Alberta	Canada	1990	1994	43	3	4	7	69	4	51.045074	-114.059049
Bob Wilkie	D	02/11/1969	Calgary	Alberta	Canada	1990	1994	18	2	5	7	10	2	51.045074	-114.059049
