Name	Description	Lat	Long
Art Ross	Naughton	46.352925	-81.333644
Arthur Brooks	Guelph	43.545259	-80.249781
Sammy Hebert	Ottawa	45.420543	-75.691767
Evariste Payer	Rockland	45.548366	-75.291512
George O'Grady	Montreal	45.507919	-73.553468
Harry Hyland	Montreal	45.511528	-73.550721
Raymie Skilton	Cambridge	42.373508	-71.110163
Hamby Shore	Ottawa	45.422953	-75.689707
Jack Laviollette	Belleville	44.162821	-77.385515
Kenneth Thompson	Oakengates		
Bert Lindsay	West Garafraxa	42.931602	-80.289561
Harry "Hap" Holmes	Aurora	44.006579	-79.450712
Rusty Crawford	Cardinal	44.848776	-75.524416
Joe Hall	Staffordshire		
Horace Merrill	Ottawa 	45.422953	-75.689707
Jack Marks	Brantford	43.139843	-80.264967
John Coughlin	Douro	44.430766	-78.10497
Eddie Lowrey	Manotick	45.226445	-75.68636
Morley Bruce	North Gower	45.131571	-75.715938
Jack McDonald	Quebec City	46.805394	-71.243076
Harry Mummery	Chicago	41.877205	-87.631905
Harry Cameron	Pembroke	45.826723	-77.110541
Eddie Gerard	Ottawa	45.420543	-75.691767
Didier Pitre	Valleyfield	45.250454	-74.13299
Jack Darragh	Ottawa	45.420543	-75.691767
Billy Bell	Lachine	45.44521	-73.685071
Joe Malone	Quebec City	46.805394	-71.243076
Phil Stevens	Kelowna	49.891288	-119.484188
Alf Skinner	Toronto	43.652976	-79.382856
Louis Berlinquette	Papineau	45.628889	-75.019074
Dave Ritchie	Montreal	45.507919	-73.553468
George "Gerry" Geran	Holyoke	42.203749	-72.617684
Georges Vezina	Chicoutimi	48.440392	-71.069373
Jack Adams	Fort William	48.345006	-89.34821
Billy Coutu	Sault Ste. Marie	46.521978	-84.344115
Harry Meeking	Berlin now Kitchener	43.43567	-80.476658
Bert Corbeau	Penetanguishene	44.768786	-79.934051
Ken Randall	Kingston	44.230449	-76.487058
Edward "Newsy" Lalonde	Cornwall	45.021239	-74.730935
Corbett Denneny	Cornwall	45.020753	-74.73145
Cy Denneny	Farran's Point	44.982364	-75.002347
Clint Benedict	Ottawa	45.420543	-75.691767
Frank Nighbor	Pembroke	45.826664	-77.110455
George "Buck" Boucher	Ottawa	45.420543	-75.691767
Reg Noble	Collingwood	44.500417	-80.217538
Fred Doherty	Norwood	44.38207	-77.980862
Paul Jacobs	Montreal	45.507919	-73.553468
Skene Ronan	Ottawa	45.422953	-75.689707
Amos Arbour	Waubaushene	44.753796	-79.71214
Odie Cleghorn	Montreal	45.511528	-73.550721
Sprague Cleghorn	Montreal	45.511528	-73.550721
Harry "Punch" Broadbent	Ottawa	45.420543	-75.691767
Ivan Mitchell	Winnipeg	49.898957	-97.136776
Howard McNamara	Randolph	44.766788	-80.033333
Howard "Holes" Lockhart	North Bay	46.309137	-79.461216
Frank Heffernan	Peterborough	44.308684	-78.320081
Duke Wellington	Madoc	44.505208	-77.472592
Tommy Smith	Ottawa	45.422953	-75.689707
Don Smith	Cornwall 	45.020753	-74.73145
Frank Brophy	Quebec City	46.803455	-71.242647
George McNaughton	Gaspe	48.834616	-64.488524
Bob Price			
Eddie Carpenter	Hartford	42.206888	-86.166671
Tom McCarthy	Toronto	43.653225	-79.381139
Jack MacKell	Ottawa 	45.422953	-75.689707
Fred McLean	Lakeville Corner	45.90843	-66.253687
George Carey			
George "Goldie" Prodger	London	42.98782	-81.241753
Joe Matte	Bourget 	45.435033	-75.157841
Mickey Roach	Boston 	42.357025	-71.063509
Carol "Cully" Wilson	Winnipeg	49.898957	-97.136776
Cecil "Babe" Dye	Hamilton	43.253309	-89.868105
Vernon "Jake" Forbes	Toronto	43.652976	-79.382856
Dave Campbell	Lachute	45.651949	-74.338485
Charles Pletsch	Chesley	44.302847	-81.096578
Moylan McDonnell	Stony Mountain	50.087628	-97.219452
Rod Smylie	Toronto	43.653225	-79.381139
Leth Graham	Ottawa	45.420543	-75.691767
Bill "Red" Stuart	Sackville	45.899214	-64.367479
Leo Reise	Stoney Creek	43.227162	-79.719297
Pat Nolan	Charlottetown	46.238122	-63.131196
Ted Stackhouse	Wolfville	45.091777	-64.359965
George Smith			
Lloyd "Shrimp" Andrews	Tilsonburg	42.865948	-80.733803
Stan Jackson	Parrsboro	45.406573	-64.325923
Bill Boucher	Ottawa	45.420543	-75.691767
Edmond Bouchard	St. Etienne	48.202566	-69.932921
John Roach	Port Perry	44.105031	-78.943857
Francis "King" Clancy	Ottawa	45.420543	-75.691767
Frank Boucher	Ottawa	45.420543	-75.691767
Glenn Smith	Woodstock	43.131521	-80.747062
Gerry Denoird	Toronto	43.652976	-79.382856
Harry Helman	Ottawa	45.420543	-75.691767
Ganton Scott	Toronto	43.652976	-79.382856
Billy Burch	Yonkers	40.931931	-73.900275
Lionel Hitchman	Toronto	43.652976	-79.382856
Aurel Joliat	Ottawa	45.420543	-75.691767
Robert Boucher	Ottawa	45.420543	-75.691767
Charles Fortier	Rockland	45.548426	-75.291169
Jack Fraser	Stellarton	45.557115	-62.660462
Wilf Loughlin	Carroll	49.607449	-100.031584
Billy Cameron	Timmins	48.477266	-81.331374
Earl "Spiff" Campbell	Buckingham	45.586615	-75.416751
Wilfred "Shorty" Green	Sudbury	46.488995	-81.003606
Red Green	Sudbury	46.488995	-81.003606
Albert "Toots" Holway	Toronto	43.652976	-79.382856
Jesse Spring	Alba	41.704982	-76.828386
Chris Speyer	Toronto	43.652976	-79.382856
Howie Morenz	Mitchell	43.46868	-81.196739
Frank Finnigan	Shawville	45.603787	-76.491578
Sylvio Mantha	Montreal	45.511528	-73.550721
Norman "Heck" Fowler	Saskatoon	52.13249	-106.683119
Fern Headley	Crystal	48.598475	-97.667979
Johnny Matz	Omaha	41.252638	-95.997478
Wilfred "Smokey" Harris	Port Arthur	48.430885	-89.234172
Alvin Fisher	Sault Ste.Marie	46.521978	-84.344115
Charlie Cotch	Sarnia	42.974013	-82.402011
Bobby Rowe	Heathcote	44.497888	-80.493191
Lloyd Cook	Lynden	43.229745	-80.144761
Ernie Parkes	Dunnville	42.903632	-79.616935
Bobby Joliat	Ottawa	45.420543	-75.691767
George Carroll	Moncton	46.087187	-64.777598
Rene Lafleur	Ottawa	45.422953	-75.689707
Bobby Benson	Winnipeg	49.898957	-97.136776
Bernie Morris	Brandon	49.848577	-99.950312
Emory "Spunk" Sparrow	Hartney		
Gerald Munro	Sault Ste. Marie	46.521978	-84.344115
Reg Reid	Seaforth	43.55342	-81.393467
Herb Mitchell	Meaford	44.604923	-80.591358
Werner Schnarr	Berlin now Kitchener	43.43567	-80.476658
Jim "Dutch" Cain	Newmarket	44.059072	-79.461206
Normand Shay	Huntsville	45.327011	-79.219103
George Redding	Peterborough	44.308684	-78.320081
Fred Lowrey	Ottawa	45.422953	-75.689707
Sammy Rothschild	Sudbury	46.489941	-81.007726
Edwin Gorman	Buckingham	45.586615	-75.416751
Charlie Langlois	Lotbiniere	46.616609	-71.930756
Alex McKinnon	Sault Ste. Marie	46.521742	-84.346862
